,Name,Born,Died,Hometown,Biography,Image,Genre,Website,Influences,Rating,Rating_count,Review_count,Works,Typical_series,Member Since,Twitter
24,Veronica Roth,,,in The United States,"Veronica Roth is the New York Times best-selling author of Arch-Conspirator, Poster Girl, Chosen Ones, the short story collection The End and Other Beginnings, the Carve the Mark duology, and the Divergent series. She lives in Chicago, Illinois with her husband and dog. 

Sign up for Veronica's newsletter to hear news, writing thoughts, book recommendations, etc.!",https://images.gr-assets.com/authors/1588707274p5/4039811.jpg,"Science Fiction, Young Adult, Fantasy",http://veronicarothbooks.com,,4.02,"7,078,988","304,070",71,"['Divergent', 'Carve the Mark', 'The Chosen Ones', 'Divergent Japanese Split-Volume Edition']",April 2010,
25,Paulo Coelho,,,"in Rio de Janeiro, Brazil","The Brazilian author PAULO COELHO was born in 1947 in the city of Rio de Janeiro. Before dedicating his life completely to literature, he worked as theatre director and actor, lyricist and journalist. In 1986, PAULO COELHO did the pilgrimage to Saint James of Compostella, an experience later to be documented in his book The Pilgrimage. In the following year, COELHO published The Alchemist. Slow initial sales convinced his first publisher to drop the novel, but it went on to become one of the best selling Brazilian books of all time. Other titles include Brida (1990), The Valkyries (1992), By the river Piedra I sat Down and Wept (1994), the collection of his best columns published in the Brazilian newspaper Folha de São Paulo entitle Maktub",https://images.gr-assets.com/authors/1201840056p5/566.jpg,"Literature & Fiction, Nonfiction, Biographies & Memoirs",http://www.paulocoelhoblog.com,Khalil Gibran Henry Miller Jorge Luis Borges Jorge Amado,3.81,"4,157,272","185,660",341,['On the Seventh Day'],January 2008,
26,Rick Riordan,,,"in San Antonio, Texas, The United States","Rick Riordan is the #1 New York Times bestselling author of many books, including the Percy Jackson series.",https://images.gr-assets.com/authors/1679846356p5/15872.jpg,"Children's, Science Fiction & Fantasy",http://www.rickriordan.com/,,4.34,"12,215,193","505,991",203,"['Camp Half-Blood Chronicles', 'Percy Jackson and the Olympians', 'The Heroes of Olympus', 'The Kane Chronicles', 'The Trials of Apollo']",November 2013,rickriordan
27,George R.R. Martin,"September 20, 1948",,"in Bayonne, New Jersey, The United States","George Raymond Richard ""R.R."" Martin was born September 20, 1948, in Bayonne, New Jersey. His father was Raymond Collins Martin, a longshoreman, and his mother was Margaret Brady Martin. He has two sisters, Darleen Martin Lapinski and Janet Martin Patten. 

Martin attended Mary Jane Donohoe School and Marist High School. He began writing very young, selling monster stories to other neighborhood children for pennies, dramatic readings included. Later he became a comic book fan and collector in high school, and began to write fiction for comic fanzines (amateur fan magazines). Martin's first professional sale was made in 1970 at age 21: The Hero, sold to Galaxy, published in February, 1971 issue. Other sales followed. 

In 1970 Martin received a",https://images.gr-assets.com/authors/1649011787p5/346732.jpg,"Fantasy, Science Fiction, Horror",http://www.georgerrmartin.com/,"J.R.R. Tolkien, Walter Scott, Robert E. Howard, Robert A. Heinlein, Stan Lee, F. Scott Fitzgerald, Roger Zelazny, H. P. Lovecraft",4.37,"6,736,418","231,081","1,387","['The Tales of Dunk and Egg', 'A Targaryen History', 'Fire & Blood', 'Dreamsongs', 'Game of Thrones / Das Lied von Eis und Feuer (Audible)']",,GRRMspeaking
28,Arthur Golden,"December 06, 1956",,"in Chattanooga, Tennessee, The United States","Arthur Golden was born in Chattanooga, Tennessee, and was educated at Harvard College, where he received a degree in art history, specializing in Japanese art. In 1980 he earned an M.A. in Japanese history from Columbia University, where he also learned Mandarin Chinese. Following a summer in Beijing University, he worked in Tokyo, and, after returning to the United States, earned an M.A. in English from Boston University. He resides in Brookline, Massachusetts, with his wife and two children.",https://images.gr-assets.com/authors/1193518006p5/614.jpg,"Literature & Fiction, Historical Fiction",,,4.15,"1,970,462","35,232",12,[],,
29,Stephenie Meyer,"December 24, 1973",,"in Connecticut, The United States","Stephenie Meyer is the author of the bestselling Twilight series, The Host, and The Chemist. Twilight was one of 2005's most talked about novels and within weeks of its release the book debuted at #5 on The New York Times bestseller list. Among its many accolades, Twilight was named an ""ALA Top Ten Books for Young Adults,"" an Amazon.com ""Best Book of the Decade So Far,"" and a Publishers Weekly Best Book of the Year. 

Meyer graduated from Brigham Young University with a degree in English Literature. She lives in Arizona with her husband and three sons.",https://images.gr-assets.com/authors/1596739281p5/941441.jpg,"Science Fiction & Fantasy, Paranormal Romance, Young Adult",http://www.stepheniemeyer.com/,"Orson Scott Card, Jane Austen, William Shakespeare, Maeve Binchy, Charlotte Bronte, Daphne DuMaurier, L.M. Montgomery, Louisa May Alcott, Eva Ibbotson, William Goldman, Douglas Adams, Janet Evanovich",3.69,"13,707,260","407,121",107,"['The Twilight Saga', 'The Host', 'トワイライト（単行本）', 'トワイライト（文庫）']",,
30,Khaled Hosseini,"March 04, 1965",,"in Kabul, Afghanistan","Hosseini was born in Kabul, Afghanistan, in 1965. In 1970 Hosseini and his family moved to Iran where his father worked for the Embassy of Afghanistan in Tehran. In 1973 Hosseini's family returned to Kabul, and Hosseini's youngest brother was born in July of that year.
In 1976, when Hosseini was 11 years old, Hosseini's father obtained a job in Paris, France, and moved the family there. They were unable to return to Afghanistan because of the Saur Revolution in which the PDPA communist party seized power through a bloody coup in April 1978. Instead, a year after the Soviet invasion of Afghanistan, in 1980 they sought political asylum in the United States and made their residence in San Jose, California.
Hosseini graduated from Independence Hi",https://images.gr-assets.com/authors/1359753468p5/569.jpg,Literature & Fiction,http://www.khaledhosseini.com/,,4.34,"4,997,010","208,905",39,[],April 2012,
31,Markus Zusak,"June 23, 1975",,"in Sydney, Australia","Markus Zusak is the author of five books, including the international bestseller, 
The Book Thief
, which spent more than a decade on the New York Times bestseller list, and is translated into more than forty languages – establishing Zusak as one of the most successful authors to come out of Australia.

To date, Zusak has held the number one position at Amazon.com, Amazon.co.uk, the New York Times bestseller list, as well as in countries across South America, Europe and Asia. 

His books, 
The Underdog, Fighting Ruben Wolfe, When Dogs Cry
 (also titled 
Getting the Girl
), 
The Messenger
 (or 
I am the Messenger
) and 
The Book Thief
 have been awarded numerous honours ranging from literary prizes to readers choice awards to prizes",https://images.gr-assets.com/authors/1537240528p5/11466.jpg,"Literature & Fiction, Young Adult",http://www.zusakbooks.com,,4.36,"2,668,623","164,772",22,['Wolfe Brothers'],July 2011,Markus_Zusak
32,C.S. Lewis,"November 29, 1898","November 22, 1963","in Belfast, Ireland","Librarian Note: There is more than one author in the Goodreads database with this name.

Clive Staples Lewis was one of the intellectual giants of the twentieth century and arguably one of the most influential writers of his day. He was a Fellow and Tutor in English Literature at Oxford University until 1954. He was unanimously elected to the Chair of Medieval and Renaissance Literature at Cambridge University, a position he held until his retirement. He wrote more than thirty books, allowing him to reach a vast audience, and his works continue to attract thousands of new readers every year. His most distinguished and popular accomplishments include Mere Christianity, Out of the Silent Planet, The Great Divorce, The Screwtape Letters, and the",https://images.gr-assets.com/authors/1564671804p5/1069006.jpg,"Christian, Religion, Children's",http://www.cslewis.com/,"George MacDonald, G.K. Chesterton, J.R.R. Tolkien, Olaf Stapledon,  David Lindsay, James I, King of Scots",4.17,"7,450,762","198,265","1,225","['The Chronicles of Narnia (Chronological Order)', 'The Chronicles of Narnia (Publication Order)', 'The Space Trilogy', 'C.S. Lewis Colour Gift Books', 'The Collected Letters of C.S. Lewis']",,
33,Frances Hodgson Burnett,"November 24, 1849","October 29, 1924","in Cheetham Hill, Manchester, England, The United Kingdom","Frances Eliza Hodgson was the daughter of ironmonger Edwin Hodgson, who died three years after her birth, and his wife Eliza Boond. She was educated at The Select Seminary for Young Ladies and Gentleman until the age of fifteen, at which point the family ironmongery, then being run by her mother, failed, and the family emigrated to Knoxville, Tennessee. Here Hodgson began to write, in order to supplement the family income, assuming full responsibility for the family upon the death of her mother, in 1870. In 1872 she married Dr. Swan Burnett, with whom she had two sons, Lionel and Vivian. The marriage was dissolved in 1898. In 1900 Burnett married actor Stephen Townsend until 1902 when they got divorced. Following her great success as a nove",https://images.gr-assets.com/authors/1197934848p5/2041.jpg,"Children's Books, Literature & Fiction",,,4.16,"1,491,928","41,386","1,545","['Emily Fox-Seton', 'A Lady of Quality', 'The Head of the House of Coombe', 'The Good Wolf']",,
34,Antoine de Saint-Exupéry,"June 29, 1900","July 31, 1944","in Lyon, France","People best know French writer and aviator Antoine de Saint-Exupéry for his fairy tale 
The Little Prince
 (1943). 

He flew for the first time at the age of 12 years in 1912 at the Ambérieu airfield and then determined to a pilot. Even after moving to a school in Switzerland and spending summer vacations at the château of the family at Saint-Maurice-de-Rémens in eastern France, he kept that ambition. He writes repeatedly of the house at Saint-Maurice. 

Later, in Paris, he failed the entrance exams for the French naval academy and instead enrolled at the prestigious art school l'Ecole des Beaux-Arts. In 1921, Saint-Exupéry, stationed in Strasbourg, began serving in the military. He learned and forever settled his career path as a pilot. Afte",https://images.gr-assets.com/authors/1330853515p5/1020792.jpg,"Philosophy, Children's Books, Nonfiction",http://www.antoinedesaintexupery.com/,,4.31,"2,061,546","68,066",984,[],,
35,L.M. Montgomery,"November 30, 1874","April 24, 1942","in Clifton (New London), Prince Edward Island, Canada","Lucy Maud Montgomery was a Canadian author, best known for a series of novels beginning with Anne of Green Gables, published in 1908.

Montgomery was born at Clifton, Prince Edward Island, Nov. 30, 1874. She came to live at Leaskdale, north of Uxbridge Ontario, after her wedding with Rev. Ewen Macdonald on July 11, 1911. She had three children and wrote close to a dozen books while she was living in the Leaskdale Manse before the family moved to Norval, Ontario in 1926. She died in Toronto April 24, 1942 and was buried at Cavendish, Prince Edward Island.",https://images.gr-assets.com/authors/1188896723p5/5350.jpg,"Children's Books, Literature & Fiction, Classics",,Kate Douglas Wiggin,4.24,"2,068,005","93,002","1,896","['Anne of Green Gables', 'Emily', '艾蜜莉系列', 'Chronicles of Avonlea', 'The Story Girl']",,
36,J.R.R. Tolkien,"January 03, 1892","September 02, 1973","in Bloemfontein, Mangaung, Free State, South Africa","John Ronald Reuel Tolkien: writer, artist, scholar, linguist. Known to millions around the world as the author of The Lord of the Rings, Tolkien spent most of his life teaching at the University of Oxford where he was a distinguished academic in the fields of Old and Middle English and Old Norse. His creativity, confined to his spare time, found its outlet in fantasy works, stories for children, poetry, illustration and invented languages and alphabets.

Tolkien’s most popular works, The Hobbit and The Lord of the Rings are set in Middle-earth, an imagined world with strangely familiar settings inhabited by ancient and extraordinary peoples. Through this secondary world Tolkien writes perceptively of universal human concerns – love and loss,",https://images.gr-assets.com/authors/1648968349p5/656983.jpg,"Fantasy, Fiction, Children's",http://www.tolkienestate.com/,"Traditional Catholicism, Scholasticism, Thomas Aquinas, Norse Mythology, Anglo-Saxon poetry, Finnish Mythology, George MacDonald, William Morris, E.R. Eddison, Francis Thompson",4.36,"10,721,358","196,465",552,"['The Lord of the Rings', 'The Hobbit', 'Tales of Middle Earth', 'The History of the Hobbit', 'The History of Middle-Earth']",,
37,Emily Brontë,"July 30, 1818","December 19, 1848","in Thornton, Yorkshire, England","Emily Jane Brontë was an English novelist and poet, now best remembered for her only novel Wuthering Heights, a classic of English literature. Emily was the second eldest of the three surviving Brontë sisters, being younger than Charlotte Brontë and older than Anne Brontë. She published under the masculine pen name Ellis Bell.

Emily was born in Thornton, near Bradford in Yorkshire to Patrick Brontë and Maria Branwell. She was the younger sister of Charlotte Brontë and the fifth of six children. In 1824, the family moved to Haworth, where Emily's father was perpetual curate, and it was in these surroundings that their literary oddities flourished. In childhood, after the death of their mother, the three sisters and their brother Patrick Branw",https://images.gr-assets.com/authors/1529578586p5/4191.jpg,"Fiction, Poetry",,"Charlotte Brontë, Anne Brontë, Shakespeare, Mary Shelley, John Milton, Walter Scott, Lord Byron",3.89,"1,775,988","60,239",997,"['مرتفعات ويذرينج', 'Wuthering Heights (2 volumes)']",,
38,William Golding,"September 19, 1911","June 19, 1993","in St. Columb Minor, Cornwall","People note British writer Sir William Gerald Golding for his dark novels, especially 
The Lord of the Flies
 (1954); he won the Nobel Prize of 1983 for literature. 

People best know this British novelist, poet, and playwright for this novel. Golding spent two years, focusing on sciences, in Oxford but changed his educational emphasis to English, especially Anglo-Saxon, literature. 

During World War II, he served as part of the royal Navy, which he left five years later. This experience strongly influenced his future novels. Later, he taught and focused on writing. Classical Greek literature, such as that of Euripides, and 
The Battle of Maldon
, an Anglo-Saxon oeuvre of unknown author influenced him. 

College students in the 1950s and 196",https://images.gr-assets.com/authors/1636107810p5/306.jpg,Literature & Fiction,http://www.william-golding.co.uk/,"Euripides, R.M. Ballantyne",3.69,"2,839,836","55,446",139,"['To the Ends of the Earth', 'The Art of the Critic']",,
39,Bram Stoker,"November 08, 1847","April 20, 1912","in Fairview, Dublin, Ireland","Irish-born Abraham Stoker, known as Bram, of Britain wrote the gothic horror novel 
Dracula
 (1897). 

The feminist Charlotte Mathilda Blake Thornely Stoker at 15 Marino crescent, then as now called ""the crescent,"" in Fairview, a coastal suburb of Dublin, Ireland, bore this third of seven children. The parents, members of church of Ireland, attended the parish church of Saint John the Baptist, located on Seafield road west in Clontarf with their baptized children. 

Stoker, an invalid, started school at the age of seven years in 1854, when he made a complete and astounding recovery. Of this time, Stoker wrote, ""I was naturally thoughtful, and the leisure of long illness gave opportunity for many thoughts which were fruitful according to their",https://images.gr-assets.com/authors/1202438456p5/6988.jpg,Horror,http://www.bramstoker.org,"Emily Gerard, William Wilkinson",4.0,"1,285,986","49,170","2,221",['The Collected Supernatural and Weird Fiction of Bram Stoker'],,
40,Harper Lee,"April 28, 1926","February 19, 2016","in Monroeville, Alabama, The United States","Harper Lee, known as Nelle, was born in the Alabama town of Monroeville, the youngest of four children of Amasa Coleman Lee and Frances Cunningham Finch Lee. Her father, a former newspaper editor and proprietor, was a lawyer who served on the state legislature from 1926 to 1938. As a child, Lee was a tomboy and a precocious reader, and enjoyed the friendship of her schoolmate and neighbor, the young Truman Capote.

After graduating from high school in Monroeville, Lee enrolled at the all-female Huntingdon College in Montgomery (1944-45), and then pursued a law degree at the University of Alabama (1945-50), pledging the Chi Omega sorority. While there, she wrote for several student publications and spent a year as editor of the campus humor ma",https://images.gr-assets.com/authors/1593873322p5/1825.jpg,Literature & Fiction,http://www.harperlee.com,,4.22,"6,169,177","147,426",97,['To Kill a Mockingbird'],,
41,Louisa May Alcott,"November 29, 1832","March 06, 1888","in Germantown, Pennsylvania, The United States","People best know American writer Louisa May Alcott for 
Little Women
 (1868), her largely autobiographical novel. 

As  A.M. Barnard: 

Behind a Mask, or a Woman's Power
 (1866)

The Abbot's Ghost, or Maurice Treherne's Temptation
 (1867)

A Long Fatal Love Chase
 (1866 – first published 1995)
First published anonymously:

A Modern Mephistopheles
 (1877)

Philosopher-teacher Amos Bronson Alcott, educated his four daughters, Anna, Louisa, Elizabeth and May and Abigail May, wife of Amos, reared them on her practical Christianity. 

Louisa spent her childhood in Boston and Concord, Massachusetts, where visits to library of Ralph Waldo Emerson, excursions into nature with Henry David Thoreau, and theatricals in the barn at Hillside (now ""Wayside",https://images.gr-assets.com/authors/1200326665p5/1315.jpg,"Literature & Fiction, Historical Fiction, Mystery & Thrillers",http://www.louisamayalcott.org,"Amos Bronson Alcott, Ralph Waldo Emerson, Henry David Thoreau, Johann Wolfgang von Goethe, Charles Dickens",4.12,"2,512,053","71,973","3,960","['Little Women', 'Eight Cousins', ""Aunt Jo's Scrap Bag"", ""Lulu's Library""]",,
42,William Shakespeare,,"April 23, 1616","Stratford-upon-Avon, Warwickshire, England","William Shakespeare (baptised 26 April 1564) was an English poet and playwright, widely regarded as the greatest writer in the English language and the world's pre-eminent dramatist. He is often called England's national poet and the ""Bard of Avon"" (or simply ""The Bard""). His surviving works consist of 38 plays, 154 sonnets, two long narrative poems, and several other poems. His plays have been translated into every major living language, and are performed more often than those of any other playwright.

Shakespeare was born and raised in Stratford-upon-Avon. Scholars believe that he died on his fifty-second birthday, coinciding with St George’s Day.

At the age of 18 he married Anne Hathaway, who bore him three children: Susanna, and twins Hamn",https://images.gr-assets.com/authors/1654446514p5/947.jpg,"Theatre, Classics, Poetry",,"Ovid, Homer, Thomas Kyd, Christopher Marlowe, Lucius Annaeus Seneca",3.86,"7,645,851","175,031","30,729","['Wars of the Roses', 'The 30-Minute Shakespeare', ""Shakespeare's Minor Tetralogy"", 'Henry IV', 'Henry VI']",,
43,Jane Austen,"December 16, 1775","July 18, 1817","in Steventon Rectory, Hampshire, England, The United Kingdom","Jane Austen was an English novelist whose works of romantic fiction, set among the landed gentry, earned her a place as one of the most widely read writers in English literature, her realism and biting social commentary cementing her historical importance among scholars and critics. 
Austen lived her entire life as part of a close-knit family located on the lower fringes of the English landed gentry. She was educated primarily by her father and older brothers as well as through her own reading. The steadfast support of her family was critical to her development as a professional writer. Her artistic apprenticeship lasted from her teenage years until she was about 35 years old. During this period, she experimented with various literary forms,",https://images.gr-assets.com/authors/1651510251p5/1265.jpg,"Fiction, Romance, Humor and Comedy",http://www.janeausten.org/,"Frances Burney,  Mary Brunton, Samuel Johnson, Samuel Richardson, Maria Edgeworth",4.15,"7,911,200","265,983","3,634",['Juvenilia'],,
44,George Orwell,"June 25, 1903","January 21, 1950","in Motihari, Bihar, India","Eric Arthur Blair, better known by his pen name George Orwell, was an English author and journalist. His work is marked by keen intelligence and wit, a profound awareness of social injustice, an intense opposition to totalitarianism, a passion for clarity in language, and a belief in democratic socialism.

In addition to his literary career Orwell served as a police officer with the Indian Imperial Police in Burma from 1922-1927 and fought with the Republicans in the Spanish Civil War from 1936-1937. Orwell was severely wounded when he was shot through his throat. Later the organization that he had joined when he joined the Republican cause, The Workers Party of Marxist Unification (POUM), was painted by the pro-Soviet Communists as a Trotsky",https://images.gr-assets.com/authors/1588856560p5/3706.jpg,"Fiction, Politics, Journalism",http://www.george-orwell.org/,"Charles Dickens, Jonathan Swift, Charles Reade, Yevgeny Zamyatin, Gustave Flaubert, Wells, Upton Sinclair, Jack London, Tobias Smollett, Henry Fielding, Compton Mackenzie",4.1,"8,652,193","228,167","1,159","['The Collected Essays, Journalism & Letters']",,
45,John Steinbeck,"February 27, 1902","December 20, 1968","in Salinas Valley, California, The United States","John Ernst Steinbeck Jr. (1902-1968) was an American writer. He wrote the Pulitzer Prize-winning novel, The Grapes of Wrath, published in 1939, and the novella, Of Mice and Men, published in 1937. In all, he wrote twenty-five books, including sixteen novels, six non-fiction books and several collections of short stories. 

In 1962, Steinbeck received the Nobel Prize for Literature.

Steinbeck grew up in the Salinas Valley region of California, a culturally diverse place of rich migratory and immigrant history. This upbringing imparted a regionalistic flavor to his writing, giving many of his works a distinct sense of place. 

Steinbeck moved briefly to New York City, but soon returned home to California to begin his career as a writer. Most of hi",https://images.gr-assets.com/authors/1182118389p5/585.jpg,Literature & Fiction,http://www.steinbeck.org/,"Ed Ricketts, Will Lang, Socrates, Emiliano Zapata, Lincoln Steffens, Arthur Miller",3.95,"4,660,053","148,892",987,"['Cannery Row', 'Øst for Eden', 'Избрани творби']",,
46,Suzanne Collins,"August 11, 1962",,"in  Hartford, Connecticut, The United States","Librarian Note: There is more than one author in the Goodreads database with this name.

Since 1991, Suzanne Collins has been busy writing for children’s television. She has worked on the staffs of several Nickelodeon shows, including the Emmy-nominated hit Clarissa Explains it All and The Mystery Files of Shelby Woo. For preschool viewers, she penned multiple stories for the Emmy-nominated Little Bear and Oswald. She also co-wrote the critically acclaimed Rankin/Bass Christmas special, Santa, Baby! Most recently she was the Head Writer for Scholastic Entertainment’s Clifford’s Puppy Days.

While working on a Kids WB show called Generation O! she met children’s author James Proimos, who talked her into giving children’s books a try.

Thinking one",https://images.gr-assets.com/authors/1630199330p5/153394.jpg,"Fiction, Science Fiction & Fantasy, Young Adult",http://suzannecollinsbooks.com/,,4.26,"15,775,029","531,337",81,"['The Hunger Games', 'Underland Chronicles', 'The Hunger Games Japanese Split-Volume Edition']",,
47,Orson Scott Card,"August 24, 1951",,"in Richland, Washington, The United States","Orson Scott Card is the author of the novels Ender's Game, Ender's Shadow, and Speaker for the Dead, which are widely read by adults and younger readers, and are increasingly used in schools.

Besides these and other science fiction novels, Card writes contemporary fantasy (Magic Street, Enchantment, Lost Boys), biblical novels (Stone Tables, Rachel and Leah), the American frontier fantasy series The Tales of Alvin Maker (beginning with Seventh Son), poetry (An Open Book), and many plays and scripts.

Card was born in Washington and grew up in California, Arizona, and Utah. He served a mission for the LDS Church in Brazil in the early 1970s. Besides his writing, he teaches occasional classes and workshops and directs plays. He recently began a",https://images.gr-assets.com/authors/1294099952p5/589.jpg,"Science Fiction & Fantasy, Poetry, Nonfiction",http://www.hatrack.com/,,4.11,"3,051,808","120,712",863,"['The First Formic War', 'Homecoming Saga', 'Pathfinder', ""Ender's Saga short stories"", 'Empire']",,orsonscottcard
